date,record_timestamp_jst,power_kW,produced_energy_em1_Wh
2026-06-30,2026-07-01T00:00:12.228000+09:00,-0.3,12073351
2026-07-01,2026-07-01T23:59:31.293000+09:00,-0.3,12073351
2026-07-02,2026-07-02T23:59:49.793000+09:00,-0.3,12073351
2026-07-03,2026-07-04T00:00:12.331000+09:00,-0.31,12073351
2026-07-04,2026-07-04T23:59:31.079000+09:00,-0.3,12073351
2026-07-05,2026-07-05T23:59:50.789000+09:00,-0.31,12073351
2026-07-06,2026-07-07T00:00:12.552000+09:00,-0.31,12073351
2026-07-07,2026-07-07T23:59:32.089000+09:00,-0.15,12073351
2026-07-08,2026-07-08T23:59:50.507000+09:00,-0.16,12073351
2026-07-09,2026-07-10T00:00:09.127000+09:00,-0.15,12073351
2026-07-10,2026-07-11T00:00:29.295000+09:00,-0.14,12073351
2026-07-11,2026-07-11T23:59:50.479000+09:00,-0.15,12073351
2026-07-12,2026-07-13T00:00:09.478000+09:00,-0.15,12073351
2026-07-13,2026-07-14T13:18:09.125000+09:00,-2.23,12073351
2026-07-14,2026-07-14T23:59:59.173000+09:00,25.1,12075608
2026-07-15,2026-07-16T00:00:21.569000+09:00,24.44,12080360
2026-07-16,2026-07-16T23:59:43.470000+09:00,24.61,12086181
2026-07-17,2026-07-18T00:00:03.070000+09:00,24.49,12091995
2026-07-18,2026-07-19T00:00:25.207000+09:00,24.52,12097818
2026-07-19,2026-07-19T23:59:47.671000+09:00,24.04,12103642

2026-07-20,2026-07-21T00:00:09.816000+09:00,24.55,12109464
2026-07-20,2026-07-21T00:00:09.816000+09:00,24.55,12109464
2026-07-21,2026-07-21T23:59:31.347000+09:00,24.48,12115282
2026-07-22,2026-07-22T23:59:52.983000+09:00,24.51,12121095
2026-07-23,2026-07-24T00:00:12.202000+09:00,24.6,12126907
2026-07-24,2026-07-24T23:59:32.890000+09:00,24.46,12132719
2026-07-25,2026-07-25T23:59:55.707000+09:00,24.55,12138518
2026-07-26,2026-07-27T00:00:17.172000+09:00,-0.32,12141968
2026-07-27,2026-07-27T23:59:37.303000+09:00,-0.31,12141968
2026-07-28,2026-07-29T00:00:00.629000+09:00,-0.3,12143064
2026-07-29,2026-07-30T00:00:24.233000+09:00,30.55,12146636
2026-07-30,2026-07-30T23:59:48.850000+09:00,24.46,12151399
2026-07-31,2026-08-01T00:00:12.400000+09:00,24.49,12156423
2026-08-01,2026-08-01T23:59:35.804000+09:00,13.69,12161403
2026-08-02,2026-08-02T23:59:58.912000+09:00,-0.82,12164026
2026-08-03,2026-08-04T00:00:20.618000+09:00,-0.31,12164026
2026-08-04,2026-08-04T23:59:42.020000+09:00,-0.31,12164026
2026-08-05,2026-08-06T00:00:03.688000+09:00,-0.31,12164026
2026-08-07,2026-08-07T23:59:47.577000+09:00,-0.31,12164026
2026-08-08,2026-08-09T00:00:11.822000+09:00,24.44,12165572
2026-08-09,2026-08-09T23:59:31.740000+09:00,24.18,12170769
2026-08-10,2026-08-10T23:59:50.498000+09:00,13.91,12175183
2026-08-11,2026-08-12T00:00:09.108000+09:00,11.17,12179685
2026-08-12,2026-08-13T00:00:29.151000+09:00,-0.31,12182875
2026-08-13,2026-08-13T23:59:35.885000+09:00,-0.15,12182875
2026-08-14,2026-08-14T23:59:57.896000+09:00,24.51,12184986
2026-08-15,2026-08-16T00:00:22.834000+09:00,15.83,12188747
2026-08-16,2026-08-16T23:59:47.426000+09:00,15.35,12192473
2026-08-17,2026-08-18T00:00:12.970000+09:00,15.65,12196219
2026-08-18,2026-08-18T23:59:39.934000+09:00,14.7,12199972
2026-08-20,2026-08-21T00:00:27.335000+09:00,15.84,12207430
